,index,id,target,enzyme,pathway,smile,name
0,0,DB01296,P14780|Q00653|P01375|P01579|P33673,P33261|P05181,hsa:4318|hsa:4791|hsa:7124|hsa:3458,N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,Glucosamine
1,1,DB09230,Q02641,P08684,hsa:782,CC(C)OC(=O)C1=C(C)NC(N)=C(C1C1=CC=CC(=C1)[N+]([O-])=O)C(=O)OC1CN(C1)C(C1=CC=CC=C1)C1=CC=CC=C1,Azelnidipine
2,2,DB05812,P05093,P08684|Q06520|P10635|P10632|P05177|P33261|P11712,hsa:1586,[H][C@@]12CC=C(C3=CC=CN=C3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,Abiraterone
3,3,DB01195,Q14524|P35499|Q12809,P10635|P11712,hsa:6331|hsa:6329|hsa:3757,FC(F)(F)COC1=CC(C(=O)NCC2CCCCN2)=C(OCC(F)(F)F)C=C1,Flecainide
4,4,DB00201,P30542|P29274|Q07343|P21817|BE0004922|P78527|O00329|P42336|P42338|BE0004914|Q13315,P20815|P05177|P24462|P08684|P05181|P10632|P11712|P04798|Q16678|P10635,hsa:134|hsa:135|hsa:5142|hsa:6261|hsa:5591|hsa:5293|hsa:5290|hsa:5291|hsa:472,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,Caffeine
5,5,DB01020,P33402,P08684,hsa:2977,[H][C@]12OC[C@@H](O[N+]([O-])=O)[C@@]1([H])OC[C@@H]2O,Isosorbidemononitrate
6,6,DB00278,P00734,P08684|P20815,hsa:2147,C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)C1=CC=CC2=C1NCC(C)C2,Argatroban
7,7,DB01403,P14416|P21728|P21918|P35462|P21917|P28223|P28335|P35367|P11229|P08172|P20309|P08173|P08912|P35348|P35368|P25100|P08913|P18089|P18825,P10635|P05181|P05177,hsa:1813|hsa:1812|hsa:1816|hsa:1814|hsa:1815|hsa:3356|hsa:3358|hsa:3269|hsa:1128|hsa:1129|hsa:1131|hsa:1132|hsa:1133|hsa:148|hsa:147|hsa:146|hsa:150|hsa:151|hsa:152,COC1=CC2=C(SC3=C(C=CC=C3)N2C[C@H](C)CN(C)C)C=C1,Methotrimeprazine
8,8,DB00588,P04150|P06401|P47712|P08235,P08684|P20815|P24462,hsa:2908|hsa:5241|hsa:5321|hsa:4306,[H][C@@]12C[C@@H](C)[C@](OC(=O)CC)(C(=O)SCF)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,Fluticasonepropionate
9,9,DB00091,P49069|Q96LZ3|P62937|P30405,P24462|P20815|P08684|P33261|P10632|P11712|P10635,hsa:819|hsa:5535|hsa:5478|hsa:10105,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,Cyclosporine
10,10,DB00915,P21430|Q8TCU5|P14416,P20711|P27338,hsa:116443|hsa:1813,NC12CC3CC(CC(C3)C1)C2,Amantadine
11,11,DB00461,P35354|P23219,P05164|P05177,hsa:5743|hsa:5742,COC1=CC2=C(C=C1)C=C(CCC(C)=O)C=C2,Nabumetone
12,12,DB01223,Q14432|P30542|P0DMS8|Q92769,P05177|P05181|P08684,hsa:5139|hsa:134|hsa:140|hsa:3066,NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O,Aminophylline
13,13,DB00648,P15538|P10109|P03372|P06401|P10275,P08684,hsa:1584|hsa:2230|hsa:2099|hsa:5241|hsa:367,ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=CC=CC=C1Cl,Mitotane
